codigo_cargo,nombre_cargo
1,Tren Ejecutivo Gobernacion
2,Equipo Politico Estadal
3,JPSUV Estadal
4,Guanare- Equipo Politico
5,Guanare- Enlace JPSUV
6,Guanare- CLP
7,Guanare- UBCH
8,Guanare- Jefes de Comunidad
9,Guanare- Jefes de calles
10,Araure- Equipo Politico
11,Araure- Enlace JPSUV
12,Araure- CLP
13,Araure- UBCH
14,Araure- Jefes de Comunidad
15,Araure- Jefes de calles
16,Paez- Equipo Politico
17,Paez- Enlace JPSUV
18,Paez- CLP
19,Paez- UBCH
20,Paez- Jefes de Comunidad
21,Paez- Jefes de calles
22,Esteller- Equipo Politico
23,Esteller- Enlace JPSUV
24,Esteller- CLP
25,Esteller- UBCH
26,Esteller- Jefes de Comunidad
27,Esteller- Jefes de calles
28,Guanarito- Equipo Politico
29,Guanarito- Enlace JPSUV
30,Guanarito- CLP
31,Guanarito- UBCH
32,Guanarito- Jefes de Comunidad
33,Guanarito- Jefes de calles
34,Papelon- Equipo Politico
35,Papelon- Enlace JPSUV
36,Papelon- CLP
37,Papelon- UBCH
38,Papelon- Jefes de Comunidad
39,Papelon- Jefes de calles
40,Sucre- Equipo Politico
41,Sucre- Enlace JPSUV
42,Sucre- CLP
43,Sucre- UBCH
44,Sucre- Jefes de Comunidad
45,Sucre- Jefes de calles
46,Unda- Equipo Politico
47,Unda- Enlace JPSUV
48,Unda- CLP
49,Unda- UBCH
50,Unda- Jefes de Comunidad
51,Unda- Jefes de calles
52,Santra Rosalia- Equipo Politico
53,Santa Rosalia- Enlace JPSUV
54,Santa Rosalia- CLP
55,Santra Rosalia- UBCH
56,Santa Rosalia- Jefes de Comunidad
57,Santa Rosalia- Jefes de calles
58,Turen- Equipo Politico
59,Turen- Enlace JPSUV
60,Turen- CLP
61,Turen- UBCH
62,Turen- Jefes de Comunidad
63,Turen- Jefes de calles
64,Ospino- Equipo Politico
65,Ospino- Enlace JPSUV
66,Ospino- CLP
67,Ospino- UBCH
68,Ospino- Jefes de Comunidad
69,Ospino- Jefes de calles
70,San Genaro- Equipo Politico
71,San Genaro- Enlace JPSUV
72,San Genaro- CLP
73,San Genaro- UBCH
74,San Genaro- Jefes de Comunidad
75,San Genaro- Jefes de calles
76,San Rafael- Equipo Politico
77,San Rafael- Enlace JPSUV
78,San Rafael- CLP
79,San Rafael- UBCH
80,San Rafael- Jefes de Comunidad
81,San Rafael- Jefes de calles
82,Agua Blanca- Equipo Politico
83,Agua Blancal- Enlace JPSUV
84,Agua Blanca- CLP
85,Agua Blanca- UBCH
86,Agua Blanca- Jefes de Comunidad
87,Agua Blanca- Jefes de calles
